sobota 20. 07.,,,,,
third,,,,,
15:35 - 16:10,The bearded bastards,fra,funhardcore,kr zabavno,
16:25 - 17:00,Reject the sickness,bel,melo core,dobr je pejt pogledat,b
17:20 - 18:00,Kairos,swe,heavy,meh,
18:20 - 19:05,Alkaloid,deu,progdeath,dobr je pejt pogledat,b
19:25 - 20:10,Ritam nereda,srb,punkmetal/hc,treba da se podpira,b
20:35 - 21:20,Noctiferia,si,death,lahko,
21:50 - 22:50,Tribulation,swe,death,ni slabo,
00:30 - 01:40,In the woods,nor,black/prog/pagan,počasn ampak dobr za zaklučt dan,b
,,,,,
third,,,,,
 ,Slave pit,bulg,death,meh,
 ,The Privateer,de,heavy,zabavno,
 ,Islay,de,melo,zelo dobr,b
 ,Esodic,jor,death,ni slabo,
 ,Dead season,fra,trash,meh,
,,,,,
sreda 24. 07.,,,,,
main,,,,,
15:40 - 16:10,Supreme carnage,de,death,propr,b
16:30 - 17:10,Altair,ita,prog/power,ne,
17:30 - 18:20,Dead Label,irl,deathcore,kr dobr,
18:45 - 19:35,Kalmah,fin,melo/power,zabavno,b
20:00 - 21:00,Kvelertak,nor,hard rock,ni slabo ni metal,
21:30 - 22:40,Rotting Christ,grc,blk,čeprou je biu tazadn album flop,b
23:10 - 00:30,Dream Theater,usa,prog,bojo intro pa outro zaigral,
,,,,,
second,,,,,
15:35 - 16:10,Athiria,au,death,niso slabi se splača,b
16:25 - 17:00,Glista,si,grind,def,b
17:20 - 18:05,Atrexial,esp,black,kr konkretn,b
18:20 - 19:05,Hour of penance,ita,tehnical death,definitivno,b
19:25 - 20:10,Une misere,isl,hardcore,dobr je pejt pogledat,b
20:35 - 21:25,Stoned jesus,ukr,stoner rock,ne,
21:50 - 22:50,Saturnus,den,Melo doom/death,ni neki baš,
00:30 - 01:40,Akercocke,gbr,prog death,ni neki baš,
,,,,,
third,,,,,
 ,Scardust,isr,prog,oyvey ne (drgač svaka ji čast na vokalu),
 ,Shade of hatred,nld,melodeath,kr konkretn,b
 ,Infinitas,ch,folk/heavy,cringe,
 ,Leave scars,bel,trash,oldskul trash še kr,
 ,Countless skies,gb,melo,še kr,
,,,,,
četrtek 25. 07.,,,,,
main,,,,,
15:40 - 16:10,Morost,si,death,niso slabi,
16:30 - 17:10,Hydra,de,symph,krneki,
17:30 - 18:20,Bloodshot Dawn,gb,death,propr,b
18:45 - 19:35,Decapitated,pol,death,konkretno,b
20:00 - 21:00,Soilwork,swe,melo groove,meh,
21:30 - 22:40,Hypocrisy,swe,melo,Peter Tagtgren is my spirit animal <3,rb
23:10 - 00:30,Demons & Wizards,de,power metal,mislm so kr klasika,
,,,,,
second,,,,,
14:35 - 15:10,Orcus O dis,mex,melodeath,sredneveški melo sound dobr je,b
15:25 - 16:05,Heart of A Coward,gb,prog/metalcore,ni slabo če lahko pejt pogledat,b
16:20 - 17:00,Fallen Arise,grc,symph/goth,bl pop metal... ne,
17:20 - 18:00,Cliteater,nld,goregrind,definitivno,b
18:20 - 19:05,Skeletal remains,usa,death,klasičn death,
19:25 - 20:10,Intervals,can,prog/instrumental,ni slabo ni dobr,
20:35 - 21:25,Liquid graveyard,gbr,death/prog/avantgard,ni slabo mogoče mau preveč avantgard.,
21:50 - 22:50,Gaahls Wyrd,nor,black,dobr sam se pokriva z hypocrisy :’(,
00:30 - 01:40,God is an astronaut,irl,postrock,meh,
,,,,,
third,,,,,
 ,Lurking,fra,death,še kr sam ni neki baš,
 ,Arcanus,esp,groove,ni nek presežk,
 ,Immortal shadow,esp,death,ni nek presežk,
 ,Swarm of serpents,usa,black/death,pejt pogledat k ni bed,b
 ,Captain morgan's revenge,si,hard rock,meh sej ni bed no,
,,,,,
petek 26. 07.,,,,,
main,,,,,
15:40 - 16:10,Winterhorde,isr,meloblack,ni slabo,b
16:30 - 17:10,Nox vorago,swe,prog/symph death,kr uredu,b
17:30 - 18:20,Critical mess,de,death,ženski vokal sam ni slb,
18:45 - 19:35,Bullet,swe,heavy metal/rock,classic heavy,
20:00 - 21:00,Tarja,fin,symph neoclass neki,meh,
21:30 - 22:40,Korpiklaani,fin,folk,definitivno,rb
23:10 - 00:30,Dimmu borgir,nor,symph black,zakaj pa ne,b
,,,,,
second,,,,,
15:35 - 16:10,Fleshless,cz,death/grind,ja,b
16:25 - 17:05,Animae Silentes,ita,gothic,ne,
17:25 - 18:05,Dopelord,pol,stoner/doom metal,solidno,b
18:25 - 19:05,Svart crown,fra,black/death,kr uredu,
19:25 - 20:10,Helstar,usa,power/speed,ni slabo sam ni pa tut neki ful,
20:35 - 21:25,The Ruins of Beverast,de,atmos black/doom,počasn ampak dobr,b
21:50 - 22:50,Impaled nazarene,fin,black,definitivno (korpiklaani bojo itk zamujal k bojo pjani),b
00:30 - 01:40,Tiamat,swe,gothic/doom neki,preveč rocki (vsaj poznejš) za zaklučt bo dobr,
,,,,,
third,,,,,
 ,Autopsy night,rus,brutal death,še kr uredu loh blo bolš,
 ,Obsolete incarnation,de,brutal death,propr brutal,
 ,Richthammer,au,death/black,ni nek presežk,
 ,Decaying days,de,melo death/doom,ni slabo bi blo pa lahko bolš,
 ,Desdemonia,lux,death,kr klasičn death,
